,Fecha_Producción,ID_Bobina,Heat_No,Grado_Acero,Espesor_mm,Ancho_mm,Peso_kg,Posición_Muestra,Orientación,Tamaño_Probeta,Tipo_Entalla,Temp_Ensayo_C,Energía_J,Tipo_Fractura,%Shear,Operador,Máquina,Fecha_Calibración,Norma,C_%,Mn_%,Si_%,P_%,S_%
10,2024-01-02,20240102-06,HN2757,DP600,4.8,1500,22011.0,Inicio,T,10x10x55,U,20,84.9,Mixta,94,María,MCH-01,2023-04-23,ASTM E23,0.11,1.925,0.481,0.005,0.007
11,2024-01-02,20240102-06,HN2757,DP600,4.8,1500,22011.0,Final,T,10x10x55,U,0,105.8,Mixta,17,Juan,MCH-02,2023-06-26,ASTM E23,0.11,1.925,0.481,0.005,0.007
12,2024-01-02,20240102-07,HN9943,DC01,4.76,1500,22225.0,Inicio,T,10x10x55,U,20,71.3,Mixta,6,Juan,MCH-01,2023-05-29,ASTM E23,0.069,0.461,0.019,0.015,0.019
13,2024-01-02,20240102-07,HN9943,DC01,4.76,1500,22225.0,Final,T,10x10x55,U,-20,49.4,Dúctil,86,Ana,MCH-02,2023-11-20,ISO 148-1,0.069,0.461,0.019,0.015,0.019
14,2024-01-02,20240102-08,HN4982,DP600,2.91,1500,24696.0,Inicio,T,10x10x55,V,-20,93.8,Frágil,6,Juan,MCH-03,2023-09-19,ASTM E23,0.087,1.999,0.348,0.0,0.014
15,2024-01-02,20240102-08,HN4982,DP600,2.91,1500,24696.0,Final,T,10x10x55,U,20,93.3,Dúctil,26,María,MCH-03,2023-03-12,ISO 148-1,0.087,1.999,0.348,0.0,0.014
16,2024-01-02,20240102-09,HN2570,DC06_IF,1.29,1500,19179.0,Inicio,T,10x10x55,U,-20,40.5,Frágil,45,María,MCH-03,2023-11-17,ASTM E23,0.003,0.209,0.005,0.015,0.014
17,2024-01-02,20240102-09,HN2570,DC06_IF,1.29,1500,19179.0,Final,T,10x10x55,V,0,60.6,Mixta,36,Carlos,MCH-01,2023-05-12,ISO 148-1,0.003,0.209,0.005,0.015,0.014
18,2024-01-02,20240102-10,HN4515,DC01,0.7,1000,20458.0,Inicio,L,10x10x55,U,-20,61.6,Dúctil,44,María,MCH-03,2023-05-07,ISO 148-1,0.099,0.58,0.013,0.005,0.007
19,2024-01-02,20240102-10,HN4515,DC01,0.7,1000,20458.0,Final,L,10x10x55,U,-20,81.9,Mixta,72,Juan,MCH-01,2023-08-09,ASTM E23,0.099,0.58,0.013,0.005,0.007
20,2024-01-02,20240102-11,HN5535,DC01,0.85,1250,22708.0,Inicio,T,10x10x55,V,-20,64.3,Dúctil,83,María,MCH-02,2023-06-10,ASTM E23,0.04,0.449,0.011,0.006,0.023
21,2024-01-02,20240102-11,HN5535,DC01,0.85,1250,22708.0,Final,T,10x10x55,U,-40,65.0,Mixta,91,Carlos,MCH-02,2023-05-03,ASTM E23,0.04,0.449,0.011,0.006,0.023
22,2024-01-02,20240102-12,HN3285,S355MC,5.79,1500,22139.0,Inicio,L,10x10x55,V,20,95.1,Mixta,53,María,MCH-01,2023-04-05,ASTM E23,0.115,0.907,0.154,0.006,0.013
23,2024-01-02,20240102-12,HN3285,S355MC,5.79,1500,22139.0,Final,T,10x10x55,U,20,97.2,Dúctil,59,Ana,MCH-01,2023-04-07,ISO 148-1,0.115,0.907,0.154,0.006,0.013
24,2024-01-02,20240102-13,HN5018,DC01,0.62,1500,24883.0,Inicio,L,10x10x55,V,-20,65.3,Mixta,16,Carlos,MCH-03,2023-12-08,ISO 148-1,0.11,0.263,0.016,0.009,0.013
25,2024-01-02,20240102-13,HN5018,DC01,0.62,1500,24883.0,Final,T,10x10x55,U,0,62.6,Mixta,0,Carlos,MCH-02,2023-10-11,ISO 148-1,0.11,0.263,0.016,0.009,0.013
26,2024-01-02,20240102-14,HN3373,DP600,0.95,1250,24918.0,Inicio,L,10x10x55,U,20,92.0,Frágil,80,Carlos,MCH-03,2023-07-18,ASTM E23,0.145,1.571,0.196,0.004,0.01
27,2024-01-02,20240102-14,HN3373,DP600,0.95,1250,24918.0,Final,T,10x10x55,U,20,86.0,Mixta,83,Ana,MCH-02,2023-07-25,ISO 148-1,0.145,1.571,0.196,0.004,0.01
28,2024-01-02,20240102-15,HN3868,S355MC,0.4,1000,24222.0,Inicio,L,10x10x55,U,0,100.2,Mixta,49,Juan,MCH-03,2023-09-06,ASTM E23,0.113,1.282,0.182,0.005,0.023
29,2024-01-02,20240102-15,HN3868,S355MC,0.4,1000,24222.0,Final,T,10x10x55,U,20,133.4,Mixta,93,María,MCH-03,2023-10-23,ISO 148-1,0.113,1.282,0.182,0.005,0.023
30,2024-01-02,20240102-16,HN9871,DC06_IF,0.77,1500,22106.0,Inicio,L,10x10x55,V,20,59.2,Frágil,28,María,MCH-01,2023-05-03,ASTM E23,0.001,0.167,0.011,0.005,0.009
31,2024-01-02,20240102-16,HN9871,DC06_IF,0.77,1500,22106.0,Final,L,10x10x55,U,0,61.0,Dúctil,89,Juan,MCH-03,2023-12-19,ISO 148-1,0.001,0.167,0.011,0.005,0.009
32,2024-01-02,20240102-17,HN3449,S235JR,1.98,1500,20646.0,Inicio,L,10x10x55,V,-20,140.6,Frágil,51,Ana,MCH-01,2023-07-29,ASTM E23,0.156,0.532,0.108,0.015,0.02
33,2024-01-02,20240102-17,HN3449,S235JR,1.98,1500,20646.0,Final,T,10x10x55,V,-40,125.8,Dúctil,89,María,MCH-02,2023-12-07,ASTM E23,0.156,0.532,0.108,0.015,0.02
34,2024-01-02,20240102-18,HN8972,DC01,1.59,1500,22634.0,Inicio,L,10x10x55,V,-20,82.9,Mixta,22,Carlos,MCH-03,2023-08-11,ASTM E23,0.065,0.45,0.029,0.01,0.025
35,2024-01-02,20240102-18,HN8972,DC01,1.59,1500,22634.0,Final,T,10x10x55,U,-20,60.6,Mixta,98,María,MCH-03,2023-08-18,ASTM E23,0.065,0.45,0.029,0.01,0.025
36,2024-01-02,20240102-19,HN3135,S235JR,1.49,1250,23218.0,Inicio,T,10x10x55,U,0,157.4,Dúctil,96,Ana,MCH-01,2023-04-26,ISO 148-1,0.153,0.506,0.238,0.002,0.021
37,2024-01-02,20240102-19,HN3135,S235JR,1.49,1250,23218.0,Final,T,10x10x55,V,0,152.9,Frágil,77,Ana,MCH-01,2023-03-13,ISO 148-1,0.153,0.506,0.238,0.002,0.021
38,2024-01-02,20240102-20,HN9231,DP600,1.52,1000,23560.0,Inicio,L,10x10x55,V,20,93.0,Mixta,87,María,MCH-03,2023-12-10,ISO 148-1,0.126,1.882,0.259,0.008,0.002
39,2024-01-02,20240102-20,HN9231,DP600,1.52,1000,23560.0,Final,L,10x10x55,U,20,75.1,Frágil,12,Ana,MCH-01,2023-09-11,ASTM E23,0.126,1.882,0.259,0.008,0.002
40,2024-01-03,20240103-01,HN5392,S355MC,4.1,1000,20940.0,Inicio,T,10x10x55,V,-40,94.5,Frágil,44,Juan,MCH-01,2023-08-12,ISO 148-1,0.052,1.478,0.291,0.002,0.022
41,2024-01-03,20240103-01,HN5392,S355MC,4.1,1000,20940.0,Final,T,10x10x55,V,20,95.9,Dúctil,93,Juan,MCH-03,2023-08-23,ASTM E23,0.052,1.478,0.291,0.002,0.022
42,2024-01-03,20240103-02,HN1083,S235JR,5.13,1500,23535.0,Inicio,T,10x10x55,U,-20,146.3,Mixta,31,Ana,MCH-03,2023-11-21,ASTM E23,0.196,0.766,0.242,0.037,0.0
43,2024-01-03,20240103-02,HN1083,S235JR,5.13,1500,23535.0,Final,L,10x10x55,U,0,162.1,Dúctil,80,Juan,MCH-01,2023-04-18,ASTM E23,0.196,0.766,0.242,0.037,0.0
44,2024-01-03,20240103-03,HN2493,DC06_IF,0.61,1000,21299.0,Inicio,L,10x10x55,U,-20,65.6,Frágil,16,María,MCH-03,2023-05-16,ISO 148-1,0.005,0.222,0.007,0.008,0.006
45,2024-01-03,20240103-03,HN2493,DC06_IF,0.61,1000,21299.0,Final,L,10x10x55,U,20,64.9,Dúctil,28,Ana,MCH-03,2023-12-24,ISO 148-1,0.005,0.222,0.007,0.008,0.006
46,2024-01-03,20240103-04,HN5873,S235JR,5.51,1500,18307.0,Inicio,T,10x10x55,U,0,158.8,Mixta,77,Ana,MCH-02,2023-06-07,ASTM E23,0.12,0.471,0.101,0.026,0.037
47,2024-01-03,20240103-04,HN5873,S235JR,5.51,1500,18307.0,Final,L,10x10x55,U,-20,138.6,Mixta,70,María,MCH-01,2023-04-23,ISO 148-1,0.12,0.471,0.101,0.026,0.037
48,2024-01-03,20240103-05,HN9880,DC06_IF,5.19,1000,18327.0,Inicio,T,10x10x55,U,-20,58.0,Frágil,3,María,MCH-01,2023-03-29,ASTM E23,0.001,0.156,0.003,0.011,0.002
49,2024-01-03,20240103-05,HN9880,DC06_IF,5.19,1000,18327.0,Final,L,10x10x55,V,20,45.3,Frágil,13,Juan,MCH-01,2023-10-20,ASTM E23,0.001,0.156,0.003,0.011,0.002
50,2024-01-03,20240103-06,HN7164,DC01,1.91,1250,22333.0,Inicio,T,10x10x55,V,20,94.4,Frágil,67,Carlos,MCH-01,2023-08-21,ISO 148-1,0.041,0.426,0.007,0.021,0.001
51,2024-01-03,20240103-06,HN7164,DC01,1.91,1250,22333.0,Final,T,10x10x55,V,20,67.2,Dúctil,73,Carlos,MCH-02,2023-12-18,ASTM E23,0.041,0.426,0.007,0.021,0.001
52,2024-01-03,20240103-07,HN8823,S355MC,1.93,1500,21439.0,Inicio,T,10x10x55,V,-20,118.0,Mixta,24,Juan,MCH-02,2023-12-07,ASTM E23,0.069,1.245,0.145,0.025,0.02
53,2024-01-03,20240103-07,HN8823,S355MC,1.93,1500,21439.0,Final,L,10x10x55,U,-20,116.3,Mixta,28,Juan,MCH-03,2023-10-31,ASTM E23,0.069,1.245,0.145,0.025,0.02
54,2024-01-03,20240103-08,HN9182,DC06_IF,5.17,1500,23280.0,Inicio,L,10x10x55,U,0,61.1,Dúctil,98,Carlos,MCH-01,2023-04-10,ISO 148-1,0.003,0.258,0.01,0.012,0.003
55,2024-01-03,20240103-08,HN9182,DC06_IF,5.17,1500,23280.0,Final,T,10x10x55,U,-20,53.3,Frágil,45,María,MCH-03,2023-05-18,ASTM E23,0.003,0.258,0.01,0.012,0.003
56,2024-01-03,20240103-09,HN2116,DP600,0.42,1000,20575.0,Inicio,T,10x10x55,V,0,78.1,Frágil,59,Carlos,MCH-01,2023-07-10,ASTM E23,0.101,1.525,0.145,0.02,0.006
57,2024-01-03,20240103-09,HN2116,DP600,0.42,1000,20575.0,Final,T,10x10x55,V,0,83.8,Mixta,75,Juan,MCH-02,2023-05-10,ASTM E23,0.101,1.525,0.145,0.02,0.006
58,2024-01-03,20240103-10,HN5617,S355MC,4.26,1500,23676.0,Inicio,L,10x10x55,V,0,117.0,Dúctil,96,Juan,MCH-03,2023-11-09,ISO 148-1,0.059,1.246,0.295,0.018,0.017
59,2024-01-03,20240103-10,HN5617,S355MC,4.26,1500,23676.0,Final,T,10x10x55,V,0,118.1,Mixta,45,Juan,MCH-03,2023-09-09,ISO 148-1,0.059,1.246,0.295,0.018,0.017
60,2024-01-03,20240103-11,HN7210,DC01,1.93,1000,18869.0,Inicio,T,10x10x55,U,-40,65.2,Mixta,90,Ana,MCH-03,2023-07-01,ASTM E23,0.08,0.313,0.008,0.013,0.017
61,2024-01-03,20240103-11,HN7210,DC01,1.93,1000,18869.0,Final,L,10x10x55,V,-40,61.3,Dúctil,77,Ana,MCH-01,2023-12-28,ISO 148-1,0.08,0.313,0.008,0.013,0.017
62,2024-01-03,20240103-12,HN2435,DP600,0.83,1000,24933.0,Inicio,T,10x10x55,U,-40,65.3,Frágil,85,Carlos,MCH-01,2023-08-27,ISO 148-1,0.132,1.753,0.351,0.017,0.013
63,2024-01-03,20240103-12,HN2435,DP600,0.83,1000,24933.0,Final,T,10x10x55,U,-20,107.4,Dúctil,79,María,MCH-03,2023-09-13,ISO 148-1,0.132,1.753,0.351,0.017,0.013
64,2024-01-03,20240103-13,HN1978,DC01,0.9,1250,23605.0,Inicio,L,10x10x55,V,-40,69.0,Mixta,7,María,MCH-02,2023-09-08,ISO 148-1,0.089,0.426,0.022,0.012,0.011
65,2024-01-03,20240103-13,HN1978,DC01,0.9,1250,23605.0,Final,L,10x10x55,V,20,85.3,Mixta,31,Ana,MCH-03,2023-08-24,ASTM E23,0.089,0.426,0.022,0.012,0.011
66,2024-01-03,20240103-14,HN1445,DC01,0.86,1250,21457.0,Inicio,L,10x10x55,U,-40,65.9,Mixta,70,Juan,MCH-01,2023-04-06,ISO 148-1,0.082,0.595,0.01,0.022,0.013
67,2024-01-03,20240103-14,HN1445,DC01,0.86,1250,21457.0,Final,T,10x10x55,V,-20,59.4,Frágil,23,Carlos,MCH-01,2023-11-06,ISO 148-1,0.082,0.595,0.01,0.022,0.013
68,2024-01-03,20240103-15,HN9484,DC01,0.61,1500,20885.0,Inicio,T,10x10x55,V,-40,72.6,Frágil,57,María,MCH-01,2023-06-06,ASTM E23,0.014,0.574,0.025,0.009,0.006
69,2024-01-03,20240103-15,HN9484,DC01,0.61,1500,20885.0,Final,L,10x10x55,V,20,63.7,Frágil,26,María,MCH-03,2023-11-22,ASTM E23,0.014,0.574,0.025,0.009,0.006
70,2024-01-03,20240103-16,HN3855,S355MC,0.96,1250,22684.0,Inicio,T,10x10x55,U,-20,100.8,Dúctil,67,Juan,MCH-01,2023-10-28,ASTM E23,0.077,1.42,0.171,0.029,0.003
71,2024-01-03,20240103-16,HN3855,S355MC,0.96,1250,22684.0,Final,L,10x10x55,V,-20,122.9,Mixta,6,María,MCH-03,2023-07-30,ISO 148-1,0.077,1.42,0.171,0.029,0.003
72,2024-01-03,20240103-17,HN3215,DC06_IF,2.91,1250,22492.0,Inicio,T,10x10x55,V,0,62.5,Dúctil,36,Juan,MCH-02,2023-10-15,ASTM E23,0.003,0.194,0.017,0.006,0.001
73,2024-01-03,20240103-17,HN3215,DC06_IF,2.91,1250,22492.0,Final,L,10x10x55,U,-20,59.8,Mixta,77,Carlos,MCH-02,2023-09-24,ASTM E23,0.003,0.194,0.017,0.006,0.001
74,2024-01-03,20240103-18,HN8762,DC06_IF,1.87,1250,22227.0,Inicio,T,10x10x55,V,0,68.8,Dúctil,8,Ana,MCH-03,2023-04-04,ISO 148-1,0.002,0.254,0.008,0.021,0.017
75,2024-01-03,20240103-18,HN8762,DC06_IF,1.87,1250,22227.0,Final,L,10x10x55,U,-40,43.6,Dúctil,29,Juan,MCH-02,2023-07-23,ISO 148-1,0.002,0.254,0.008,0.021,0.017
76,2024-01-03,20240103-19,HN9596,S355MC,1.22,1000,22478.0,Inicio,L,10x10x55,V,-20,111.7,Mixta,71,Ana,MCH-01,2023-03-26,ISO 148-1,0.117,1.033,0.269,0.025,0.014
77,2024-01-03,20240103-19,HN9596,S355MC,1.22,1000,22478.0,Final,T,10x10x55,V,-20,94.3,Frágil,6,María,MCH-01,2023-07-18,ASTM E23,0.117,1.033,0.269,0.025,0.014
78,2024-01-03,20240103-20,HN3405,S235JR,0.67,1500,19773.0,Inicio,L,10x10x55,V,-40,142.9,Frágil,55,María,MCH-01,2023-11-20,ISO 148-1,0.196,0.623,0.063,0.012,0.024
79,2024-01-03,20240103-20,HN3405,S235JR,0.67,1500,19773.0,Final,T,10x10x55,V,-20,151.9,Frágil,86,Carlos,MCH-02,2023-05-13,ISO 148-1,0.196,0.623,0.063,0.012,0.024
80,2024-01-04,20240104-01,HN1735,DC06_IF,1.33,1250,18292.0,Inicio,T,10x10x55,U,20,42.9,Dúctil,90,Juan,MCH-01,2023-04-16,ISO 148-1,0.003,0.292,0.014,0.005,0.014
81,2024-01-04,20240104-01,HN1735,DC06_IF,1.33,1250,18292.0,Final,T,10x10x55,U,-40,43.4,Frágil,93,María,MCH-02,2023-11-29,ASTM E23,0.003,0.292,0.014,0.005,0.014
82,2024-01-04,20240104-02,HN8163,S235JR,3.75,1250,23320.0,Inicio,L,10x10x55,U,0,148.3,Dúctil,11,Ana,MCH-03,2023-11-13,ASTM E23,0.165,0.666,0.141,0.001,0.037
83,2024-01-04,20240104-02,HN8163,S235JR,3.75,1250,23320.0,Final,L,10x10x55,V,20,143.4,Mixta,13,María,MCH-01,2023-05-11,ISO 148-1,0.165,0.666,0.141,0.001,0.037
84,2024-01-04,20240104-03,HN1032,DC01,5.24,1000,24076.0,Inicio,T,10x10x55,U,0,72.6,Frágil,30,María,MCH-01,2023-05-16,ASTM E23,0.091,0.271,0.026,0.029,0.015
85,2024-01-04,20240104-03,HN1032,DC01,5.24,1000,24076.0,Final,L,10x10x55,U,-40,69.5,Mixta,60,Juan,MCH-01,2023-09-09,ASTM E23,0.091,0.271,0.026,0.029,0.015
86,2024-01-04,20240104-04,HN1036,DC06_IF,0.53,1250,18999.0,Inicio,L,10x10x55,U,-40,43.4,Frágil,57,Carlos,MCH-03,2023-05-01,ISO 148-1,0.001,0.186,0.015,0.011,0.0
87,2024-01-04,20240104-04,HN1036,DC06_IF,0.53,1250,18999.0,Final,L,10x10x55,V,20,39.1,Dúctil,9,Juan,MCH-03,2023-06-21,ISO 148-1,0.001,0.186,0.015,0.011,0.0
88,2024-01-04,20240104-05,HN5444,DP600,0.68,1500,20833.0,Inicio,L,10x10x55,V,-20,81.3,Mixta,98,Carlos,MCH-01,2023-12-19,ISO 148-1,0.121,1.956,0.264,0.0,0.014
89,2024-01-04,20240104-05,HN5444,DP600,0.68,1500,20833.0,Final,L,10x10x55,V,20,77.4,Mixta,39,Carlos,MCH-01,2023-10-08,ASTM E23,0.121,1.956,0.264,0.0,0.014
90,2024-01-04,20240104-06,HN7300,DP600,2.5,1500,18453.0,Inicio,T,10x10x55,U,-40,75.9,Frágil,7,Ana,MCH-02,2023-10-07,ASTM E23,0.116,1.535,0.228,0.012,0.012
91,2024-01-04,20240104-06,HN7300,DP600,2.5,1500,18453.0,Final,T,10x10x55,V,-20,66.5,Frágil,9,María,MCH-02,2023-07-25,ISO 148-1,0.116,1.535,0.228,0.012,0.012
92,2024-01-04,20240104-07,HN5523,DC06_IF,3.76,1000,18220.0,Inicio,T,10x10x55,V,-20,62.4,Mixta,94,Juan,MCH-03,2023-09-18,ISO 148-1,0.001,0.205,0.0,0.001,0.0
93,2024-01-04,20240104-07,HN5523,DC06_IF,3.76,1000,18220.0,Final,T,10x10x55,V,-20,25.8,Mixta,59,María,MCH-02,2023-03-31,ASTM E23,0.001,0.205,0.0,0.001,0.0
94,2024-01-04,20240104-08,HN5843,S355MC,2.97,1250,23454.0,Inicio,L,10x10x55,V,0,115.0,Frágil,34,Carlos,MCH-01,2023-12-26,ISO 148-1,0.085,1.289,0.277,0.017,0.003
95,2024-01-04,20240104-08,HN5843,S355MC,2.97,1250,23454.0,Final,T,10x10x55,V,-40,106.5,Mixta,21,Ana,MCH-01,2023-03-16,ISO 148-1,0.085,1.289,0.277,0.017,0.003
96,2024-01-04,20240104-09,HN5701,S235JR,0.68,1250,22270.0,Inicio,L,10x10x55,V,0,142.2,Mixta,18,Carlos,MCH-03,2023-09-11,ISO 148-1,0.161,0.788,0.165,0.009,0.031
97,2024-01-04,20240104-09,HN5701,S235JR,0.68,1250,22270.0,Final,T,10x10x55,V,20,139.3,Dúctil,8,Ana,MCH-02,2023-07-09,ASTM E23,0.161,0.788,0.165,0.009,0.031
98,2024-01-04,20240104-10,HN3698,S355MC,3.72,1250,23439.0,Inicio,T,10x10x55,V,20,108.4,Dúctil,9,Juan,MCH-03,2023-11-16,ASTM E23,0.057,1.414,0.226,0.02,0.022
99,2024-01-04,20240104-10,HN3698,S355MC,3.72,1250,23439.0,Final,T,10x10x55,V,-40,102.6,Mixta,39,Juan,MCH-02,2023-11-10,ASTM E23,0.057,1.414,0.226,0.02,0.022
100,2024-01-04,20240104-11,HN1344,DP600,0.69,1250,23814.0,Inicio,L,10x10x55,U,0,87.6,Frágil,76,Carlos,MCH-01,2023-05-27,ASTM E23,0.128,1.812,0.193,0.013,0.006
101,2024-01-04,20240104-11,HN1344,DP600,0.69,1250,23814.0,Final,L,10x10x55,V,-40,76.2,Frágil,8,Juan,MCH-02,2023-12-10,ISO 148-1,0.128,1.812,0.193,0.013,0.006
102,2024-01-04,20240104-12,HN1511,DC01,0.86,1000,24117.0,Inicio,T,10x10x55,V,0,76.1,Frágil,55,Ana,MCH-03,2023-10-20,ISO 148-1,0.105,0.286,0.016,0.021,0.022
103,2024-01-04,20240104-12,HN1511,DC01,0.86,1000,24117.0,Final,T,10x10x55,U,-20,61.2,Mixta,3,Juan,MCH-01,2023-05-21,ASTM E23,0.105,0.286,0.016,0.021,0.022
104,2024-01-04,20240104-13,HN9392,DC06_IF,0.69,1250,23396.0,Inicio,L,10x10x55,V,0,61.1,Frágil,7,Juan,MCH-03,2023-06-25,ASTM E23,0.001,0.205,0.013,0.018,0.001
105,2024-01-04,20240104-13,HN9392,DC06_IF,0.69,1250,23396.0,Final,L,10x10x55,V,-20,46.2,Mixta,83,Juan,MCH-02,2023-10-22,ISO 148-1,0.001,0.205,0.013,0.018,0.001
106,2024-01-04,20240104-14,HN6886,S235JR,5.46,1250,24332.0,Inicio,T,10x10x55,V,0,138.6,Frágil,44,Juan,MCH-01,2023-09-10,ASTM E23,0.169,0.543,0.074,0.006,0.037
107,2024-01-04,20240104-14,HN6886,S235JR,5.46,1250,24332.0,Final,T,10x10x55,V,20,142.8,Frágil,26,María,MCH-03,2023-06-30,ISO 148-1,0.169,0.543,0.074,0.006,0.037
108,2024-01-04,20240104-15,HN5802,DC01,1.94,1500,18499.0,Inicio,T,10x10x55,V,0,82.1,Mixta,62,Carlos,MCH-03,2023-05-16,ASTM E23,0.02,0.544,0.02,0.004,0.004
109,2024-01-04,20240104-15,HN5802,DC01,1.94,1500,18499.0,Final,L,10x10x55,V,-20,70.8,Dúctil,100,Ana,MCH-03,2023-11-01,ISO 148-1,0.02,0.544,0.02,0.004,0.004
110,2024-01-04,20240104-16,HN8219,DC06_IF,2.38,1000,24190.0,Inicio,L,10x10x55,U,20,48.5,Frágil,43,Carlos,MCH-01,2023-07-01,ISO 148-1,0.004,0.219,0.017,0.01,0.008
111,2024-01-04,20240104-16,HN8219,DC06_IF,2.38,1000,24190.0,Final,T,10x10x55,V,-20,52.6,Dúctil,86,Juan,MCH-03,2023-06-28,ASTM E23,0.004,0.219,0.017,0.01,0.008
112,2024-01-04,20240104-17,HN8812,S235JR,1.69,1250,21745.0,Inicio,T,10x10x55,U,-20,151.8,Mixta,42,Carlos,MCH-01,2023-06-21,ASTM E23,0.152,0.486,0.004,0.003,0.013
113,2024-01-04,20240104-17,HN8812,S235JR,1.69,1250,21745.0,Final,T,10x10x55,V,-40,121.1,Frágil,90,Ana,MCH-01,2023-04-22,ISO 148-1,0.152,0.486,0.004,0.003,0.013
114,2024-01-04,20240104-18,HN6224,DC06_IF,5.22,1250,23781.0,Inicio,L,10x10x55,U,-20,34.8,Mixta,1,Ana,MCH-03,2023-05-15,ISO 148-1,0.001,0.23,0.007,0.002,0.008
115,2024-01-04,20240104-18,HN6224,DC06_IF,5.22,1250,23781.0,Final,T,10x10x55,V,-40,30.0,Frágil,84,Ana,MCH-03,2023-11-13,ISO 148-1,0.001,0.23,0.007,0.002,0.008
116,2024-01-04,20240104-19,HN7032,S355MC,1.58,1000,21455.0,Inicio,T,10x10x55,U,20,109.8,Frágil,32,Juan,MCH-03,2023-09-11,ASTM E23,0.117,0.914,0.22,0.014,0.018
117,2024-01-04,20240104-19,HN7032,S355MC,1.58,1000,21455.0,Final,L,10x10x55,V,-20,102.8,Dúctil,87,María,MCH-01,2023-05-21,ASTM E23,0.117,0.914,0.22,0.014,0.018
118,2024-01-04,20240104-20,HN4431,S355MC,4.53,1000,20198.0,Inicio,L,10x10x55,U,-20,111.0,Frágil,31,Ana,MCH-02,2023-12-02,ASTM E23,0.074,0.915,0.283,0.023,0.024
119,2024-01-04,20240104-20,HN4431,S355MC,4.53,1000,20198.0,Final,L,10x10x55,V,20,115.3,Mixta,35,María,MCH-03,2023-06-24,ASTM E23,0.074,0.915,0.283,0.023,0.024
120,2024-01-05,20240105-01,HN4666,DP600,2.35,1250,23958.0,Inicio,T,10x10x55,V,20,94.9,Frágil,59,Juan,MCH-03,2023-12-15,ISO 148-1,0.1,1.57,0.174,0.017,0.007
121,2024-01-05,20240105-01,HN4666,DP600,2.35,1250,23958.0,Final,T,10x10x55,V,-20,81.0,Mixta,5,María,MCH-02,2023-12-26,ASTM E23,0.1,1.57,0.174,0.017,0.007
122,2024-01-05,20240105-02,HN3921,S235JR,5.82,1500,19793.0,Inicio,L,10x10x55,U,-40,139.4,Dúctil,28,Juan,MCH-03,2023-12-11,ISO 148-1,0.148,0.352,0.179,0.021,0.033
123,2024-01-05,20240105-02,HN3921,S235JR,5.82,1500,19793.0,Final,T,10x10x55,V,20,121.6,Dúctil,27,María,MCH-01,2023-10-20,ISO 148-1,0.148,0.352,0.179,0.021,0.033
124,2024-01-05,20240105-03,HN3233,DP600,2.29,1000,20914.0,Inicio,L,10x10x55,U,0,120.0,Dúctil,8,Carlos,MCH-03,2023-03-22,ISO 148-1,0.143,1.81,0.321,0.001,0.002
